Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
UCO Bank,30.98,15.89,38847.55,1.26,652.43,24.09,6744.59,15.1,5.76,5.59,7.41,0.12
Dalmia BharatLtd,2070.1,49.94,38827.86,0.43,439.0,38.1,4091.0,-5.02,5.97,6.1,5.43,5.16
Tata Elxsi,6212.0,49.29,38691.16,1.13,172.42,-12.45,908.34,0.26,36.22,34.12,34.2,33.37
Godrej Industrie,1143.3,39.23,38500.87,0.0,416.13,822.49,5779.69,26.55,8.32,7.4,7.64,8.12
KPIT Technologi.,1364.8,44.56,37415.15,0.49,244.73,49.38,1528.34,15.98,40.88,26.93,30.67,25.23
M & M Fin. Serv.,266.95,16.41,37105.28,2.36,456.19,-31.95,4885.63,14.14,8.84,9.2,10.92,9.98
CRISIL,5015.5,51.94,36678.36,1.12,159.84,16.06,813.18,10.23,35.6,30.11,30.71,30.29
Astral,1359.7,69.96,36526.26,0.28,112.6,-0.62,1397.0,1.96,23.16,19.76,19.26,19.43
Authum Invest,2150.2,8.6,36520.09,0.05,1766.46,17.9,1442.07,62.76,31.25,32.41,33.47,31.84
Narayana Hrudaya,1774.6,46.28,36265.87,0.23,193.06,2.62,1366.68,13.55,26.54,23.63,30.87,19.84
ACC,1928.4,15.57,36212.9,0.39,751.04,-11.6,6066.52,12.16,17.58,12.22,11.55,12.55
Ipca Labs.,1392.6,48.12,35330.85,0.29,276.36,81.13,2245.37,9.38,12.77,14.93,11.35,14.44
Chola Financial,1867.9,16.14,35074.95,0.03,1362.18,19.59,8913.37,26.15,10.57,18.5,19.12,18.04
Radico Khaitan,2571.6,99.7,34414.09,0.12,90.71,59.73,1304.08,20.9,16.22,12.77,11.71,13.51
Honeywell Auto,38820.0,65.54,34316.88,0.27,139.9,-5.6,1114.5,17.23,18.25,14.77,14.3,16.5
LIC Housing Fin.,621.1,6.28,34164.41,1.45,1373.62,26.98,7305.52,5.14,8.93,13.8,14.67,14.0
Sona BLW Precis.,542.85,54.95,33749.96,0.56,163.68,11.86,864.75,-2.19,18.72,18.02,17.53,19.51
3M India,29680.0,60.24,33449.36,0.54,113.77,-15.88,1089.95,8.38,33.04,14.6,18.07,15.92
Exide Inds.,393.05,42.02,33409.25,0.51,187.91,1.15,4335.42,3.89,8.87,14.54,6.71,14.22
NLC India,238.93,14.7,33130.91,1.26,696.03,166.79,4411.41,39.41,6.54,9.5,9.27,10.51
KEI Industries,3463.2,47.52,33091.77,0.12,226.55,34.25,2914.79,25.11,21.31,18.06,18.09,18.76
Apar Inds.,8228.0,40.24,33050.49,0.62,249.97,5.82,5209.76,16.94,32.09,22.29,24.71,20.53
Central Bank,36.49,8.4,33028.56,0.0,1106.49,35.32,8653.26,3.37,5.45,5.79,8.84,0.84
Multi Comm. Exc.,6450.0,58.74,32893.95,0.12,135.46,54.16,291.33,60.83,42.86,15.53,17.57,14.81
Natl. Aluminium,177.19,8.25,32543.28,4.51,1582.9,224.05,4662.22,39.27,16.95,13.02,16.25,12.69
Ajanta Pharma,2603.6,35.34,32522.11,1.38,225.26,11.12,1170.41,11.04,33.33,22.58,22.33,21.75
Laurus Labs,603.05,90.76,32519.62,0.2,232.77,210.28,1720.3,19.49,9.96,18.14,10.86,17.02
Gujarat Gas,469.45,26.35,32316.47,1.21,221.62,0.58,4152.89,5.7,20.51,25.3,21.04,24.52
Blue Star,1563.2,55.24,32141.7,0.45,194.0,21.24,4018.96,20.77,26.05,19.6,21.42,19.69
Metro Brands,1178.0,78.03,32071.01,0.42,95.08,-3.3,703.09,10.64,19.66,21.1,23.61,21.82
Tata Inv.Corpn.,6209.0,100.66,31414.62,0.43,37.72,-37.62,16.43,-71.23,1.21,1.28,1.27,1.29
Apollo Tyres,494.25,25.24,31389.86,1.21,184.62,-30.09,6423.59,2.64,11.38,8.65,10.11,8.14
